Gaz ID,Feature Name,Class,County,State,Map,Elevation,Latitude,Longitude,Bgn Decision Date,Entry Date,Census Code,Census Classification Code,GSA Code,OPM Code,County FIPS Code,State FIPS Code
226975,Laytonville Rancheria,Civil,Mendocino County,California,Cahto Peak,509,39.6692903,-123.5006818,None,1/19/1981,1925R,D2,null,null,06045,06
1935163,Laytonville-Leggett Division,Civil,Mendocino County,California,Leggett,624,39.7873901,-123.6795479,None,9/26/2001,91580,Z5,null,null,06045,06
1935164,Lemoore Division,Civil,Kings County,California,Lemoore,66,36.3284833,-119.851833,None,9/26/2001,91590,Z5,null,null,06031,06
1935165,Lexington Hills Division,Civil,Santa Clara County,California,Los Gatos,834,37.1599873,-121.922977,None,9/26/2001,91602,Z5,null,null,06085,06
276402,Likely Rancheria,Civil,Modoc County,California,Tule Mountain,1428,41.2047695,-120.4788308,None,9/1/1992,1955R,D2,null,null,06049,06
1935166,Linda Division,Civil,Yuba County,California,Olivehurst,19,39.1087258,-121.5688686,None,9/26/2001,91610,Z5,null,null,06115,06
1935168,Linden-Farmington Division,Civil,San Joaquin County,California,Peters,34,37.9761034,-121.0353837,None,9/26/2001,91630,Z5,null,null,06077,06
1935169,Lindsay Division,Civil,Tulare County,California,Cairns Corner,108,36.2048364,-119.125494,None,9/26/2001,91640,Z5,null,null,06107,06
227268,Little Hastings Tract,Civil,Solano County,California,Liberty Island,0,38.2504694,-121.6921782,None,1/19/1981,null,null,null,null,06095,06
227273,Little Holland Tract,Civil,Yolo County,California,Liberty Island,4,38.3240787,-121.6555119,None,1/19/1981,null,null,null,null,06113,06
272131,Little Temecula,Civil,Riverside County,California,Pechanga,339,33.4661404,-117.1003076,None,1/19/1981,null,null,null,null,06065,06
1935170,Live Oak Division,Civil,Sutter County,California,Gridley,21,39.2523637,-121.6862794,None,9/26/2001,91650,Z5,null,null,06101,06
1935171,Livermore-Pleasanton Division,Civil,Alameda County,California,Altamont,252,37.6307169,-121.7291114,None,9/26/2001,91660,Z5,null,null,06001,06
1935172,Livingston-Delhi Division,Civil,Merced County,California,Cressey,31,37.4029121,-120.733234,None,9/26/2001,91670,Z5,null,null,06047,06
1935173,Llagas-Uvas Division,Civil,Santa Clara County,California,Mount Madonna,365,37.0499566,-121.7071852,None,9/26/2001,91680,Z5,null,null,06085,06
227439,Llano De Buena Vista,Civil,Monterey County,California,Natividad,19,36.6371824,-121.6229999,None,1/19/1981,null,null,null,null,06053,06
227440,Llano De Santa Rosa,Civil,Sonoma County,California,Sebastopol,28,38.3882468,-122.7527663,None,1/19/1981,null,null,null,null,06097,06
227441,Llano Del Tequisquita,Civil,San Benito County,California,San Felipe,46,36.9521721,-121.4810493,None,1/19/1981,null,null,null,null,06069,06
234177,Llano Seco,Civil,Butte County,California,Llano Seco,32,39.573495,-121.9560877,None,1/19/1981,null,null,null,null,06007,06
1935174,Lockeford Division,Civil,San Joaquin County,California,Clements,51,38.1598472,-121.0852662,None,9/26/2001,91690,Z5,null,null,06077,06
234180,Locoallomi,Civil,Napa County,California,Saint Helena,208,38.6182391,-122.3844228,None,1/19/1981,null,null,null,null,06055,06
1935175,Lodi Division,Civil,San Joaquin County,California,Lodi North,13,38.1488464,-121.292065,None,9/26/2001,91700,Z5,null,null,06077,06
245027,Lomas De La Purificacion,Civil,Santa Barbara County,California,Santa Ynez,424,34.5735994,-120.0456995,None,1/19/1981,null,null,null,null,06083,06
272169,Lomas de Santiago,Civil,Orange County,California,Black Star Canyon,282,33.788073,-117.7144967,None,1/19/1981,null,null,null,null,06059,06
227501,Lomerias Muertas,Civil,San Benito County,California,Chittenden,167,36.891342,-121.5291078,None,1/19/1981,null,null,null,null,06069,06
245030,Lompoc,Civil,Santa Barbara County,California,Tranquillon Mountain,371,34.5969282,-120.5626675,None,1/19/1981,null,null,null,null,06083,06
1935176,Lompoc Division,Civil,Santa Barbara County,California,Lompoc Hills,206,34.624304,-120.4748575,None,9/26/2001,91708,Z5,null,null,06083,06
1935177,Lone Pine Division,Civil,Inyo County,California,Coso Peak,2098,36.1655589,-117.7450053,None,9/26/2001,91720,Z5,null,null,06027,06
275865,Lone Pine Reservation,Civil,Inyo County,California,Lone Pine,1132,36.5968831,-118.0560421,None,9/1/1992,1970R,D2,null,null,06027,06
1935178,Long Beach-Lakewood Division,Civil,Los Angeles County,California,Long Beach,9,33.7871702,-118.1620229,None,9/26/2001,91730,Z5,null,null,06037,06
227643,Lookout Rancheria,Civil,Modoc County,California,Big Swamp,1267,41.2138759,-121.0933983,None,1/19/1981,1980R,D2,null,null,06049,06
245124,Los Alamitos,Civil,Orange County,California,Los Alamitos,7,33.7769607,-118.0395066,None,1/19/1981,null,null,null,null,06059,06
245129,Los Alamos,Civil,Santa Barbara County,California,Sisquoc,208,34.7849811,-120.3254358,None,1/19/1981,null,null,null,null,06083,06
272214,Los Alamos Y Agua Caliente,Civil,Kern County,California,Pastoria Creek,1362,34.9291389,-118.7620381,None,1/19/1981,null,null,null,null,06029,06
277283,Los Angeles County,Civil,Los Angeles County,California,Burbank,747,34.1981819,-118.2610565,None,2/1/1993,99037,H1,null,null,06037,06
1935180,Los Angeles Division,Civil,Los Angeles County,California,Inglewood,122,33.9937163,-118.3585541,None,9/26/2001,91750,Z5,null,null,06037,06
1935181,Los Banos Division,Civil,Merced County,California,Ortigalita Peak NW,233,36.9708841,-120.9672512,None,9/26/2001,91760,Z5,null,null,06047,06
234196,Los Capitancillos,Civil,Santa Clara County,California,Santa Teresa Hills,329,37.1916119,-121.8566202,None,1/19/1981,null,null,null,null,06085,06
227665,Los Carneros,Civil,Monterey County,California,San Juan Bautista,245,36.830789,-121.6102224,None,1/19/1981,null,null,null,null,06053,06
234197,Los Carneros,Civil,Monterey County,California,Prunedale,19,36.8549547,-121.7082814,None,1/19/1981,null,null,null,null,06053,06
245158,Los Cerritos,Civil,Los Angeles County,California,Long Beach,16,33.8472384,-118.1620127,None,1/19/1981,null,null,null,null,06037,06
227667,Los Coches,Civil,Santa Clara County,California,San Jose West,37,37.3207752,-121.9221784,None,1/19/1981,null,null,null,null,06085,06
245163,Los Coches,Civil,Monterey County,California,Soledad,65,36.380521,-121.297428,None,1/19/1981,null,null,null,null,06053,06
227668,Los Corralitos,Civil,Santa Cruz County,California,Watsonville West,47,36.9538408,-121.7888408,None,1/19/1981,null,null,null,null,06087,06
245165,Los Coyotes,Civil,Los Angeles County,California,Los Alamitos,14,33.8544595,-118.0611758,None,1/19/1981,null,null,null,null,06037,06
272219,Los Coyotes Reservation,Civil,San Diego County,California,Hot Springs Mountain,1832,33.2977016,-116.5560218,None,1/19/1981,1995R,D2,null,null,06073,06
272220,Los Dos Pueblos,Civil,Santa Barbara County,California,Dos Pueblos Canyon,93,34.4486047,-119.9362511,None,1/19/1981,null,null,null,null,06083,06
245167,Los Encenitos,Civil,San Diego County,California,Rancho Santa Fe,68,33.0611529,-117.2383692,None,1/19/1981,null,null,null,null,06073,06
245169,Los Felis,Civil,Los Angeles County,California,Hollywood,167,34.1116757,-118.2800755,None,1/19/1981,null,null,null,null,06037,06
227673,Los Gatos or Santa Rita,Civil,Monterey County,California,Salinas,4,36.7246807,-121.6874471,None,1/19/1981,null,null,null,null,06053,06
227675,Los Guilicos,Civil,Sonoma County,California,Kenwood,144,38.4196338,-122.5763721,None,1/19/1981,null,null,null,null,06097,06
234198,Los Huecos,Civil,Santa Clara County,California,Isabel Valley,940,37.308828,-121.5807768,None,1/19/1981,null,null,null,null,06085,06
234199,Los Laurelles,Civil,Monterey County,California,Spreckels,280,36.5046837,-121.7413364,None,1/19/1981,null,null,null,null,06053,06
227679,Los Laurelles,Civil,Monterey County,California,Seaside,240,36.5255168,-121.781338,None,1/19/1981,null,null,null,null,06053,06
245174,Los Medanos,Civil,Contra Costa County,California,Antioch North,20,38.0085324,-121.8596796,None,1/19/1981,null,null,null,null,06013,06
227681,Los Meganos,Civil,Contra Costa County,California,Brentwood,29,37.914924,-121.7077308,None,1/19/1981,null,null,null,null,06013,06
245181,Los Nogales,Civil,Los Angeles County,California,San Dimas,205,34.0400111,-117.8175593,None,1/19/1981,null,null,null,null,06037,06
245182,Los Ojitos,Civil,Monterey County,California,Williams Hill,296,35.916634,-121.1232512,None,1/19/1981,null,null,null,null,06053,06
1935182,Los Padres Division,Civil,Ventura County,California,San Guillermo Mountain,1671,34.6381863,-119.1445783,None,9/26/2001,91770,Z5,null,null,06111,06
245188,Los Palos Verdes,Civil,Los Angeles County,California,Torrance,290,33.7644615,-118.3442389,None,1/19/1981,null,null,null,null,06037,06
245189,Los Peñasquitos,Civil,San Diego County,California,Del Mar,120,32.9472678,-117.1428115,2/9/1965,1/19/1981,null,null,null,null,06073,06
272234,Los Prietos Y Najalayegua,Civil,Santa Barbara County,California,Little Pine Mountain,737,34.5347157,-119.6487442,None,1/19/1981,null,null,null,null,06083,06
227686,Los Putos,Civil,Solano County,California,Allendale,43,38.3901876,-121.9666331,None,1/19/1981,null,null,null,null,06095,06
272238,Los Tularcitos,Civil,Monterey County,California,Rana Creek,618,36.4319064,-121.5924424,None,1/19/1981,null,null,null,null,06053,06
227687,Los Ulpinos,Civil,Solano County,California,Rio Vista,14,38.146306,-121.7124552,None,1/19/1981,null,null,null,null,06095,06
245202,Los Vallecitos De San Marcos,Civil,San Diego County,California,San Marcos,180,33.137817,-117.1586448,None,1/19/1981,null,null,null,null,06073,06
227688,Los Vergeles,Civil,Monterey County,California,San Juan Bautista,182,36.7988461,-121.5707767,None,1/19/1981,null,null,null,null,06053,06
227773,Lower Jones Tract,Civil,San Joaquin County,California,Holt,-1,37.9543681,-121.4938394,None,1/19/1981,null,null,null,null,06077,06
2583197,Lower Lake Division,Civil,Lake County,California,Lower Lake,373,38.8764424,-122.5213431,None,3/31/2010,91775,Z5,null,null,06033,06
2583198,Lucerne-Clearlake Oaks Division,Civil,Lake County,California,Bartlett Springs,850,39.1270636,-122.6609441,None,3/31/2010,91795,Z5,null,null,06033,06
227877,Lytton Rancheria,Civil,Contra Costa County,California,Richmond,31,37.9526221,-122.3343781,None,1/19/1981,2075R,D2,null,null,06013,06
1935191,Mad River Division,Civil,Trinity County,California,Shannon Butte,983,40.1818694,-123.2866343,None,9/26/2001,91860,Z5,null,null,06105,06
1935187,Madeline Plains Division,Civil,Lassen County,California,Ravendale,1615,40.8318231,-120.3595656,None,9/26/2001,91820,Z5,null,null,06035,06
277284,Madera County,Civil,Madera County,California,Knowles,462,37.2180441,-119.7626445,None,2/1/1993,99039,H1,null,null,06039,06
1935188,Madera Division,Civil,Madera County,California,Madera,91,36.9913685,-120.0251798,None,9/26/2001,91830,Z5,null,null,06039,06
1935189,Madera Southeast Division,Civil,Madera County,California,Gregg,83,36.8808743,-119.9877785,None,9/26/2001,91840,Z5,null,null,06039,06
1935190,Madera West Division,Civil,Madera County,California,Firebaugh NE,46,36.9209139,-120.3479576,None,9/26/2001,91850,Z5,null,null,06039,06
256083,Malibu,Civil,Los Angeles County,California,Point Dume,76,34.0258408,-118.8048116,1/1/1965,6/14/2000,null,null,null,null,06037,06
253228,Mallacomes or Moristol,Civil,Lake County,California,Mount Saint Helena,113,38.6521301,-122.7141553,None,1/19/1981,null,null,null,null,06033,06
245409,Mallacomes or Moristul Y Plan De Agua Calien,Civil,Sonoma County,California,Mark West Springs,234,38.6168521,-122.6477635,None,1/19/1981,null,null,null,null,06097,06
1935205,Mammoth Lakes Division,Civil,Mono County,California,Glass Mountain,2880,37.7553197,-118.6728652,None,9/26/2001,91865,Z5,null,null,06051,06
1985200,Manchester-Point Arena Rancheria,Civil,Mendocino County,California,Point Arena,56,38.9355493,-123.6826756,None,2/25/2003,2100R,D2,null,null,06045,06
1935192,Manteca Division,Civil,San Joaquin County,California,Manteca,10,37.7951422,-121.2268333,None,9/26/2001,91870,Z5,null,null,06077,06
245463,Manzanita Reservation,Civil,San Diego County,California,Sombrero Peak,1350,32.7547135,-116.3461329,None,1/19/1981,2115R,D2,null,null,06073,06
277285,Marin County,Civil,Marin County,California,San Geronimo,151,38.0551875,-122.7488624,None,2/1/1993,99041,H1,null,null,06041,06
277286,Mariposa County,Civil,Mariposa County,California,Feliciana Mountain,1039,37.5815223,-119.905517,None,2/1/1993,99043,H1,null,null,06043,06
1935193,Mariposa Division,Civil,Mariposa County,California,Mariposa,633,37.4733529,-119.994052,None,9/26/2001,91880,Z5,null,null,06043,06
1935194,Markleeville Division,Civil,Alpine County,California,Ebbetts Pass,2485,38.5972506,-119.820653,None,9/26/2001,91890,Z5,null,null,06003,06
1935195,Marysville Division,Civil,Yuba County,California,Yuba City,19,39.1531171,-121.5884788,None,9/26/2001,91900,Z5,null,null,06115,06
1935196,Marysville Northeast Division,Civil,Yuba County,California,Loma Rica,174,39.2675565,-121.4412561,None,9/26/2001,91908,Z5,null,null,06115,06
1935185,McCloud-Medicine Lake Division,Civil,Siskiyou County,California,Horse Peak,1646,41.413172,-121.8139174,None,9/26/2001,91800,Z5,null,null,06093,06
1723821,Mechoopda Indian Rancheria (historical),Civil,Butte County,California,Chico,57,39.7318277,-121.8538668,None,3/5/1997,null,null,null,null,06007,06
277287,Mendocino County,Civil,Mendocino County,California,Burbeck,346,39.4336238,-123.4315539,None,2/1/1993,99045,H1,null,null,06045,06
1935199,Mendocino Division,Civil,Mendocino County,California,Navarro,321,39.1861817,-123.6168111,None,9/26/2001,91938,Z5,null,null,06045,06
1935200,Mendota Division,Civil,Fresno County,California,Chaney Ranch,143,36.6312511,-120.5691037,None,9/26/2001,91950,Z5,null,null,06019,06
277288,Merced County,Civil,Merced County,California,Turner Ranch,27,37.1918705,-120.717688,None,2/1/1993,99047,H1,null,null,06047,06
1935201,Merced Division,Civil,Merced County,California,Sandy Mush,39,37.2193947,-120.5538798,None,9/26/2001,91960,Z5,null,null,06047,06
2804909,Merced-McLaren Division,Civil,San Francisco County,California,San Francisco South,95,37.7220677,-122.4563895,None,11/5/2019,91964,Z5,null,null,06075,06
1935202,Meridian-Robbins Division,Civil,Sutter County,California,Kirkville,8,38.9714045,-121.7590557,None,9/26/2001,91970,Z5,null,null,06101,06
2419013,Mesa Grande Reservation,Civil,San Diego County,California,Ramona,865,33.0886606,-116.7519107,None,4/11/2008,2190R,D2,null,null,06073,06
228533,Mesa de Ojo de Agua,Civil,Santa Cruz County,California,Santa Cruz,88,36.9813391,-122.0435746,None,1/19/1981,null,null,null,null,06087,06
2583199,Middletown Division,Civil,Lake County,California,Middletown,344,38.7565152,-122.5819163,None,3/31/2010,91975,Z5,null,null,06033,06
228627,Middletown Rancheria,Civil,Lake County,California,Mount Saint Helena,365,38.7286756,-122.6258467,None,1/19/1981,2255R,D2,null,null,06033,06
245946,Milpitas,Civil,Monterey County,California,Bear Canyon,370,36.0713547,-121.3038168,None,1/19/1981,null,null,null,null,06053,06
234310,Milpitas,Civil,Santa Clara County,California,Calaveras Reservoir,38,37.4293831,-121.8694002,None,1/19/1981,null,null,null,null,06085,06
228822,Miramontes,Civil,San Mateo County,California,Half Moon Bay,36,37.453552,-122.4224749,None,1/19/1981,null,null,null,null,06081,06
246010,Mission La Purisima,Civil,Santa Barbara County,California,Lompoc,105,34.7019268,-120.4498854,None,1/19/1981,null,null,null,null,06083,06
246012,Mission Lands,Civil,San Luis Obispo County,California,San Luis Obispo,65,35.2796968,-120.6598935,None,1/19/1981,null,null,null,null,06079,06
228835,Mission Lands of Santa Cruz,Civil,Santa Cruz County,California,Santa Cruz,7,36.9796724,-122.0288519,None,1/19/1981,null,null,null,null,06087,06
246020,Mission San Diego,Civil,San Diego County,California,La Mesa,134,32.8150494,-117.0744752,None,1/19/1981,null,null,null,null,06073,06
228847,Mission San Rafael,Civil,Marin County,California,San Rafael,4,37.9727013,-122.5244204,None,1/19/1981,null,null,null,null,06041,06
2583200,Mission Viejo Division,Civil,Orange County,California,Canada Gobernadora,148,33.5624874,-117.5924128,None,3/31/2010,91977,Z5,null,null,06059,06
272508,Mission Viejo or La Paz,Civil,Orange County,California,Canada Gobernadora,195,33.5291917,-117.5733806,None,1/19/1981,null,null,null,null,06059,06
246015,Mission of San Gabriel,Civil,Los Angeles County,California,El Monte,134,34.102231,-118.0995137,None,1/19/1981,null,null,null,null,06037,06
246014,Mission of San Gabriel,Civil,Los Angeles County,California,El Monte,124,34.0938981,-118.1067361,None,1/19/1981,null,null,null,null,06037,06
2804910,Mission-Bernal Division,Civil,San Francisco County,California,San Francisco North,20,37.752932,-122.4155819,None,11/5/2019,91976,Z5,null,null,06075,06
1935203,Modesto Division,Civil,Stanislaus County,California,Riverbank,30,37.6517357,-120.9684548,None,9/26/2001,91980,Z5,null,null,06099,06
277289,Modoc County,Civil,Modoc County,California,Big Sage Reservoir,1551,41.5898336,-120.7250289,None,2/1/1993,99049,H1,null,null,06049,06
228906,Molinos,Civil,Sonoma County,California,Sebastopol,87,38.4799122,-122.8636041,None,1/19/1981,null,null,null,null,06097,06
277290,Mono County,Civil,Mono County,California,Mono Mills,2185,37.9389759,-118.8866994,None,2/1/1993,99051,H1,null,null,06051,06
246099,Monserate,Civil,San Diego County,California,Bonsall,92,33.3314215,-117.1911448,None,1/19/1981,null,null,null,null,06073,06
1935206,Montague Division,Civil,Siskiyou County,California,Dewey Gulch,1274,41.7718858,-122.321607,None,9/26/2001,92010,Z5,null,null,06093,06
246111,Monte Del Diablo,Civil,Contra Costa County,California,Walnut Creek,40,37.9832551,-122.0032947,None,1/19/1981,null,null,null,null,06013,06
277291,Monterey County,Civil,Monterey County,California,Reliz Canyon,333,36.2397744,-121.3089015,None,2/1/1993,99053,H1,null,null,06053,06
263771,Montgomery Creek Rancheria,Civil,Shasta County,California,Montgomery Creek,745,40.8341875,-121.9156583,None,6/14/2000,2330R,D2,null,null,06089,06
229027,Moore Tract,Civil,Solano County,California,Liberty Island,2,38.3165787,-121.7146795,None,1/19/1981,null,null,null,null,06095,06
2419023,Mooretown Rancheria,Civil,Butte County,California,Palermo,86,39.4693358,-121.5188786,None,4/11/2008,2340R,D2,null,null,06007,06
1935207,Moorpark Division,Civil,Ventura County,California,Simi Valley West,246,34.3137489,-118.849875,None,9/26/2001,92020,Z5,null,null,06111,06
272559,Moro Y Cayucos,Civil,San Luis Obispo County,California,Morro Bay North,125,35.4224736,-120.8532346,None,1/19/1981,null,null,null,null,06079,06
255940,Morongo Reservation,Civil,Riverside County,California,Cabazon,787,33.9524334,-116.8075162,None,10/1/1992,2360R,D2,null,null,06065,06
229124,Moss Tract,Civil,San Joaquin County,California,Stockton West,3,37.9321466,-121.3121684,None,1/19/1981,null,null,null,null,06077,06
1935209,Mount Baldy-Wrightwood Division,Civil,San Bernardino County,California,Telegraph Peak,1930,34.268635,-117.5536269,None,9/26/2001,92040,Z5,null,null,06071,06
1935210,Mount Shasta Division,Civil,Siskiyou County,California,City of Mount Shasta,1221,41.3475493,-122.3278644,None,9/26/2001,92050,Z5,null,null,06093,06
1935208,Mountain Empire Division,Civil,San Diego County,California,Cameron Corners,1124,32.7043954,-116.4385606,None,9/26/2001,92030,Z5,null,null,06073,06
246364,Muniz,Civil,Sonoma County,California,Arched Rock,196,38.4918577,-123.1630603,None,1/19/1981,null,null,null,null,06097,06
252165,Murrieta,Civil,Riverside County,California,Murrieta,331,33.5500255,-117.2175345,1/1/1965,8/1/1990,null,null,null,null,06065,06
1935211,Murrieta Division,Civil,Riverside County,California,Bachelor Mountain,408,33.5363117,-117.1101724,None,9/26/2001,92060,Z5,null,null,06065,06
246396,Muscupiabe,Civil,San Bernardino County,California,San Bernardino North,509,34.1544541,-117.3139331,None,1/19/1981,null,null,null,null,06071,06
229405,Nacional,Civil,Monterey County,California,Salinas,13,36.6549595,-121.6805019,None,1/19/1981,null,null,null,null,06053,06
234350,Napa,Civil,Napa County,California,Napa,38,38.3415799,-122.3399761,None,1/19/1981,null,null,null,null,06055,06
277292,Napa County,Civil,Napa County,California,Chiles Valley,374,38.5069636,-122.330637,None,2/1/1993,99055,H1,null,null,06055,06
1935212,Napa Division,Civil,Napa County,California,Napa,15,38.3380374,-122.2717458,None,9/26/2001,92070,Z5,null,null,06055,06
272626,Navajo,Civil,San Luis Obispo County,California,Pozo Summit,623,35.3660831,-120.2693199,None,1/19/1981,null,null,null,null,06079,06
1935213,Needles Division,Civil,San Bernardino County,California,Stepladder Mountains,452,34.5055334,-114.8031244,None,9/26/2001,92080,Z5,null,null,06071,06
1935214,Nevada City Division,Civil,Nevada County,California,North Bloomfield,1028,39.3499728,-120.9121886,None,9/26/2001,92090,Z5,null,null,06057,06
